Name,Domain,Language,Modality,GitHub,HuggingFace,PapersWithCode,AI2,Self-hosted,#Leaderboards by categories,#Empty leaderboards by category,%Empty leaderboard rate,#Submission,#Model,#Scenario,#Benchmark,#metrics,Last update,Evalution harness
HotpotQA,language,English,text,no,no,yes,no,no,1,0,0,4,4,1,1,1,today,
Open LLM Leaderboard,language,English,text,no,yes,no,no,no,1,0,0,2181,2181,7,7,3,today,lm-evaluation-harness
LLM-Perf Leaderboard,language,English,text,no,yes,no,no,no,1,0,0,781,781,1,1,9,today,
HumanEval,programming,English,text+code,yes,no,yes,no,no,5,0,0,67,,1,1,3,today,
InstructEval,language,English,text,yes,no,no,no,yes,3,0,0,94,,17,7,2,today,
InterCode,programming,English,text+code,yes,no,no,no,no,1,0,0,15,9,3,3,1,10//2023,
KQApro,language,English,text,no,no,yes,no,no,1,0,0,1,1,1,1,1,today,
LAiw,language,Chinese,text,no,yes,no,no,no,3,2,66.66666667,8,8,13,12,2,10//2023,
LAMBADA,language,English,text,no,no,yes,no,no,2,0,0,35,,1,1,2,today,
ChEF,language+visual,English,text+image,yes,no,no,no,no,3,0,0,23,11,6,9,5,11//2023,
LawBench,language,English,text,no,no,no,no,yes,2,0,0,102,51,20,1,7,11//2023,
LLM-Leaderboard,language,English,text,yes,yes,no,no,yes,1,0,0,52,52,14,7,3,8//2023,
LLM-EVAL,language,Chinese,text+code,yes,no,no,no,yes,4,0,0,72,18,11,1,4,11//2023,
LLMonitor,language,English,text,no,yes,no,no,yes,1,0,0,34,34,5,1,1,today,
LongBench,language,English+Chinese,text,yes,no,no,no,no,8,0,0,64,8,6,21,5,11//2023,
M3KE,language,Chinese,text,yes,no,no,no,no,2,0,0,26,13,4,1,1,7//2023,
MATH,math,English,text,no,no,yes,no,no,1,0,0,56,56,1,1,1,today,
MBPP,programming,English,text+code,no,no,yes,no,no,1,0,0,5,5,1,1,1,today,
MC-TACO,language,English,text,no,no,yes,yes,no,2,0,0,23,23,1,1,3,today,
MINT-Bench,language+agent,English,text+code,yes,no,no,no,no,2,0,0,35,26,6,1,3,11//2023,
MMBench,language+visual,English+Chinese,multi,no,yes,no,no,yes,8,1,12.5,102,32,6,1,1,today,
MMCU,language,Chinese,text,yes,no,no,no,no,3,0,0,21,7,4,27,1,5//2023,
MME,language+visual,English,text+image,yes,no,no,no,no,16,0,0,560,35,14,1,1,11//2023,
MMLU,language,English,text,yes,yes,yes,no,no,7,0,0,1253,,57,3,1,today,
MOCHA,language,English,text,no,no,no,yes,no,1,0,0,4,4,6,6,3,today,
MultiRC,language,English,text,no,no,yes,no,no,2,0,0,21,21,1,1,3,today,
NaturalInstructions,language,English,text,no,no,no,yes,no,1,0,0,11,11,2,1,2,today,
Natural Questions,language,English,text,no,no,yes,no,no,1,0,0,36,36,1,1,1,today,
NoCaps,visual,English,text+image,no,no,yes,no,no,8,0,0,306,,4,1,8,today,
OCNLI,language,Chinese,text,no,no,yes,no,no,5,0,0,7,,1,1,1,today,
OK-VQA,visual,English,text+image,no,no,yes,no,no,1,0,0,32,32,1,1,3,today,
Omnibenchmark,language+visual,English,text+image,no,no,yes,no,no,1,0,0,23,23,21,1,1,today,
Open LLM Leaderboard (Humans and GPT4 evaluations),language,English,text,no,yes,no,no,no,2,0,0,8,4,2,1,4,11//2023,
Open Ko-LLM Leaderboard,language,Korean,text,no,yes,no,no,no,1,0,0,505,505,5,5,2,today,lm-evaluation-harness
Open Multilingual LLM Evaluation Leaderboard,language,31,text,no,yes,no,no,no,1,0,0,62,62,4,4,2,6//2023,
OpenbookQA,language,English,text,no,no,yes,yes,no,3,0,0,82,,1,1,1,today,
OpenCompass,language,English+Chinese,text,no,yes,no,no,yes,18,1,5.555555556,1632,96,10,10,7,today,opencomPass
OpenEval,language,Chinese,text,no,no,no,no,yes,4,0,0,28,7,4,24,1,today,openeval
OpenEval,language,English,text+code,yes,no,no,no,no,1,0,0,10,10,1,1,1,8//2023,
Pets37,visual,English,text+image,no,no,yes,no,no,1,0,0,15,15,1,1,2,today,
PIQA,language,English,text,no,no,yes,yes,no,3,0,0,73,,1,1,1,today,
ProtoQA,language,English,text,no,no,no,yes,no,1,0,0,189,189,1,1,7,today,
QuAC,language,English,text,no,no,yes,no,no,1,0,0,2,2,1,1,1,today,
RACE,language,English,text,no,no,yes,no,no,2,0,0,23,23,2,1,1,today,
RAFT,language,English,text,no,no,yes,no,no,1,0,0,9,9,11,1,1,today,
ReCoRD,language,English,text,no,no,yes,no,no,1,0,0,30,30,1,1,2,today,
