Leaderboard,Modality,Language,#Leaderboards by categories,#Empty leaderboards by category,#Benchmark,#Metrics,Evalution harness,#Submission,#Model,#Scenario,Last update,Source
HallusionBench,text,English,2,0,1.0,1,,17,14.0,4,today,PapersWithCode
HEIM,image,"English,Chinese,Hindi,Spanish",96,0,18.0,45,heim,1092,26.0,42,8/18/2023,Self-hosted
HellaSwag,text,English,4,0,1.0,1,,102,,4,today,PapersWithCode
HellaSwag,text,English,4,0,1.0,1,,102,,4,today,AI2
HellaSwag,text,English,4,0,1.0,1,,102,,4,today,Self-hosted
HELM,text,English,306,0,48.0,47,helm,13566,119.0,114,today,Self-hosted
HotpotQA,text,English,1,0,1.0,1,,4,4.0,1,today,PapersWithCode
HumanEval,code,English,4,0,1.0,3,,111,,1,today,GitHub
HumanEval,code,English,4,0,1.0,3,,111,,1,today,PapersWithCode
ImageNet,video,English,8,0,1.0,4,,1223,,1,today,PapersWithCode
InstructEval,text,English,3,0,7.0,2,,94,,17,today,GitHub
InstructEval,text,English,3,0,7.0,2,,94,,17,today,Self-hosted
InterCode,code,English,1,0,3.0,1,,15,9.0,3,10/12/2023,GitHub
KoLA,text,English,18,0,19.0,3,,174,19.0,4,10/31/2023,PapersWithCode
KQAPro,text,English,1,0,1.0,1,,1,1.0,1,today,PapersWithCode
L-Eval,text,English,5,0,20.0,5,,55,11.0,5,11/27/2023,GitHub
LAiw,text,Chinese,3,2,12.0,2,,8,8.0,13,10/8/2023,HuggingFace
LAMBADA,text,English,2,0,1.0,2,,35,,1,today,PapersWithCode
LaMDA,text,English,1,0,1.0,2,,33,33.0,1,today,PapersWithCode
LawBench,text,English,2,0,1.0,7,,102,51.0,20,11/13/2023,Self-hosted
LLM Benchmarker Suite,text,English,1,0,11.0,1,,8,8.0,11,today,GitHub
LLM Benchmarker Suite,text,English,1,0,11.0,1,,8,8.0,11,today,Self-hosted
LLM-EVAL,code,Chinese,4,0,1.0,4,,72,18.0,11,11/18/2023,GitHub
LLM-EVAL,code,Chinese,4,0,1.0,4,,72,18.0,11,11/18/2023,Self-hosted
LLM-Leaderboard,text,English,1,0,7.0,3,,52,52.0,14,8/25/2023,GitHub
LLM-Leaderboard,text,English,1,0,7.0,3,,52,52.0,14,8/25/2023,HuggingFace
LLM-Leaderboard,text,English,1,0,7.0,3,,52,52.0,14,8/25/2023,Self-hosted
LLM-Perf Leaderboard,text,English,1,0,1.0,9,,781,781.0,1,today,HuggingFace
LLMonitor,text,English,1,0,1.0,1,,34,34.0,5,today,HuggingFace
LLMonitor,text,English,1,0,1.0,1,,34,34.0,5,today,Self-hosted
LMExamQA,text,English,1027,0,1.0,5,,8032,8.0,1006,11/4/2023,Self-hosted
LogiQA,text,English,1,0,1.0,1,,2,2.0,1,today,PapersWithCode
LogiQA,text,English,1,0,1.0,1,,2,2.0,1,today,PapersWithCode
LongBench,text,"English,Chinese",8,0,21.0,5,,64,8.0,6,11/23/2023,GitHub
LVLM-eHub,video,English,8,0,,2,,65,9.0,6,8/20/2023,Self-hosted
M3KE,text,Chinese,2,0,1.0,1,,26,13.0,4,7/20/2023,GitHub
MATH,text,English,1,0,1.0,1,,56,56.0,1,today,PapersWithCode
MATH401,text,English,2,0,1.0,3,,49,,14,4/17/2023,GitHub
MBPP,code,English,2,0,1.0,2,,30,,1,today,GitHub
MBPP,code,English,2,0,1.0,2,,30,,1,today,PapersWithCode
MC-TACO,text,English,2,0,1.0,3,,23,23.0,1,today,PapersWithCode
MC-TACO,text,English,2,0,1.0,3,,23,23.0,1,today,AI2
MINT-Bench,code,English,2,0,1.0,3,,35,26.0,6,11/1/2023,GitHub
MiT,video,English,1,0,1.0,2,,29,29.0,1,today,PapersWithCode
MiT,video,English,1,0,1.0,2,,29,29.0,1,today,Self-hosted
MM-Vet,image,English,1,0,1.0,1,,36,36.0,1,today,HuggingFace
MM-Vet,image,English,1,0,1.0,1,,36,36.0,1,today,PapersWithCode
MMBench,multi,"English,Chinese",8,1,1.0,1,,102,32.0,6,today,HuggingFace
MMBench,multi,"English,Chinese",8,1,1.0,1,,102,32.0,6,today,Self-hosted
MMCU,text,Chinese,3,0,27.0,1,,21,7.0,4,5/15/2023,GitHub
MME,image,English,16,0,1.0,1,,560,35.0,14,11/23/2023,GitHub
MMLU,text,English,7,0,3.0,1,,1253,,57,today,GitHub
MMLU,text,English,7,0,3.0,1,,1253,,57,today,HuggingFace
MMLU,text,English,7,0,3.0,1,,1253,,57,today,PapersWithCode
MMMU,image,English,2,0,1.0,1,,34,15.0,6,11/30/2023,GitHub
MMMU,image,English,2,0,1.0,1,,34,15.0,6,11/30/2023,HuggingFace
MNLI,text,English,2,0,1.0,1,,49,49.0,2,today,PapersWithCode
MOCHA,text,English,1,0,6.0,3,,4,4.0,6,today,AI2
MRPC,text,English,1,0,1.0,1,,2,2.0,1,today,PapersWithCode
MSRVTT-QA,video,English,2,0,1.0,2,,44,,1,today,PapersWithCode
MSVD-QA,video,English,4,0,1.0,2,,44,,1,today,PapersWithCode
MultiRC,text,English,2,0,1.0,3,,21,21.0,1,today,PapersWithCode
MVBench,video,English,21,0,,1,,235,14.0,20,today,GitHub
Natural Questions,text,English,1,0,1.0,1,,36,36.0,1,today,PapersWithCode
NaturalInstructions,text,English,1,0,1.0,2,,11,11.0,2,today,AI2
NoCaps,image,English,8,0,1.0,8,,306,,4,today,PapersWithCode
OCNLI,text,Chinese,5,0,1.0,1,,7,,1,today,PapersWithCode
OK-VQA,image,English,1,0,1.0,3,,32,32.0,1,today,PapersWithCode
Omnibenchmark,image,English,1,0,1.0,1,,23,23.0,21,today,PapersWithCode
Open Ko-LLM Leaderboard,text,Korean,1,0,5.0,2,lm-evaluation-harness,505,505.0,5,today,HuggingFace
Open LLM Leaderboard,text,English,1,0,7.0,3,lm-evaluation-harness,2181,2181.0,7,today,HuggingFace
Open Multilingual LLM Evaluation Leaderboard,text,"Vietnamese,Ukrainian,Telugu,Tamil,Swedish,Spanish,Slovak,Serbian,Russian,Romanian,Portuguese,Nepali,Marathi,Malayalam,Kannada,Italian,Indonesian,Hungarian,Hindi,Gujarati,German,French,Dutch,Danish,Croatian,Chinese,Catalan,Bengali,Basque,Armenian,Arabic",1,0,4.0,2,lm-evaluation-harness,62,62.0,4,6/15/2023,HuggingFace
OpenbookQA,text,English,3,0,1.0,1,,82,,1,today,PapersWithCode
OpenbookQA,text,English,3,0,1.0,1,,82,,1,today,AI2
OpenCompass,text,"English,Chinese",18,1,10.0,7,opencomPass,1632,96.0,10,today,HuggingFace
OpenCompass,text,"English,Chinese",18,1,10.0,7,opencomPass,1632,96.0,10,today,Self-hosted
OpenEval(text),text,Chinese,4,0,24.0,1,openeval,28,7.0,4,today,Self-hosted
OpenEval(code),code,English,1,0,1.0,1,,10,10.0,1,8/19/2023,GitHub
Pets37,image,English,1,0,1.0,2,,15,15.0,1,today,PapersWithCode
PIQA,text,English,3,0,1.0,1,,73,,1,today,PapersWithCode
PIQA,text,English,3,0,1.0,1,,73,,1,today,AI2
PromptBench,text,English,7,0,13.0,1,,32,6.0,3,today,GitHub
ProtoQA,text,English,1,0,1.0,7,,189,189.0,1,today,AI2
PubMedQA,text,English,2,0,1.0,2,,45,,1,today,GitHub
PubMedQA,text,English,2,0,1.0,2,,45,,1,today,PapersWithCode
QASC,text,English,1,0,1.0,1,,16,16.0,1,today,AI2
QNLI,text,English,2,0,1.0,1,,38,38.0,1,today,PapersWithCode
QQP,text,English,1,0,1.0,1,,19,19.0,1,today,PapersWithCode
QuAC,text,English,1,0,1.0,1,,2,2.0,1,today,PapersWithCode
QuALITY,text,English,1,0,1.0,2,,14,13.0,2,11/14/2023,GitHub
RACE,text,English,2,0,1.0,1,,23,23.0,2,today,PapersWithCode
RAFT,text,English,1,0,1.0,1,,9,9.0,11,today,PapersWithCode
ReCoRD,text,English,1,0,1.0,2,,30,30.0,1,today,PapersWithCode
RefCOCO,image,English,1,0,1.0,1,,13,13.0,3,today,PapersWithCode
ReForm-Eval,image,English,1,0,41.0,2,,16,16.0,2,11/17/2023,GitHub
