Leaderboard,Modality,Language,GitHub,HuggingFace,PapersWithCode,AI2,Self-hosted,#Leaderboards by categories,#Empty leaderboards by category,#Benchmark,#Metrics,Evalution harness,#Submission,#Model,#Scenario,Last update
LLM Benchmarker Suite,text,English,yes,no,no,no,yes,1,0,11,1,,8,8,11,today
LLM-EVAL,code,Chinese,yes,no,no,no,yes,4,0,1,4,,72,18,11,11/18/2023
LLM-Leaderboard,text,English,yes,yes,no,no,yes,1,0,7,3,,52,52,14,8/25/2023
LLM-Perf Leaderboard,text,English,no,yes,no,no,no,1,0,1,9,,781,781,1,today
LLMonitor,text,English,no,yes,no,no,yes,1,0,1,1,,34,34,5,today
LMExamQA,text,English,no,no,no,no,yes,1027,0,1,5,,8032,8,1006,11/4/2023
LogiQA,text,English,no,no,yes,no,no,1,0,1,1,,2,2,1,today
LogiQA,text,English,no,no,yes,no,no,1,0,1,1,,2,2,1,today
LongBench,text,"English,Chinese",yes,no,no,no,no,8,0,21,5,,64,8,6,11/23/2023
LVLM-eHub,video,English,no,no,no,no,yes,8,0,,2,,65,9,6,8/20/2023
M3KE,text,Chinese,yes,no,no,no,no,2,0,1,1,,26,13,4,7/20/2023
MATH,text,English,no,no,yes,no,no,1,0,1,1,,56,56,1,today
MATH401,text,English,yes,no,no,no,no,2,0,1,3,,49,,14,4/17/2023
MBPP,code,English,yes,no,yes,no,no,2,0,1,2,,30,,1,today
MC-TACO,text,English,no,no,yes,yes,no,2,0,1,3,,23,23,1,today
MINT-Bench,code,English,yes,no,no,no,no,2,0,1,3,,35,26,6,11/1/2023
MiT,video,English,no,no,yes,no,yes,1,0,1,2,,29,29,1,today
MM-Vet,image,English,no,yes,yes,no,no,1,0,1,1,,36,36,1,today
MMBench,multi,"English,Chinese",no,yes,no,no,yes,8,1,1,1,,102,32,6,today
MMCU,text,Chinese,yes,no,no,no,no,3,0,27,1,,21,7,4,5/15/2023
MME,image,English,yes,no,no,no,no,16,0,1,1,,560,35,14,11/23/2023
MMLU,text,English,yes,yes,yes,no,no,7,0,3,1,,1253,,57,today
MMMU,image,English,yes,yes,no,no,no,2,0,1,1,,34,15,6,11/30/2023
MNLI,text,English,no,no,yes,no,no,2,0,1,1,,49,49,2,today
MOCHA,text,English,no,no,no,yes,no,1,0,6,3,,4,4,6,today
MRPC,text,English,no,no,yes,no,no,1,0,1,1,,2,2,1,today
MSRVTT-QA,video,English,no,no,yes,no,no,2,0,1,2,,44,,1,today
MSVD-QA,video,English,no,no,yes,no,no,4,0,1,2,,44,,1,today
MultiRC,text,English,no,no,yes,no,no,2,0,1,3,,21,21,1,today
MVBench,video,English,yes,no,no,no,no,21,0,,1,,235,14,20,today
Natural Questions,text,English,no,no,yes,no,no,1,0,1,1,,36,36,1,today
NaturalInstructions,text,English,no,no,no,yes,no,1,0,1,2,,11,11,2,today
NoCaps,image,English,no,no,yes,no,no,8,0,1,8,,306,,4,today
OCNLI,text,Chinese,no,no,yes,no,no,5,0,1,1,,7,,1,today
OK-VQA,image,English,no,no,yes,no,no,1,0,1,3,,32,32,1,today
Omnibenchmark,image,English,no,no,yes,no,no,1,0,1,1,,23,23,21,today
Open Ko-LLM Leaderboard,text,Korean,no,yes,no,no,no,1,0,5,2,lm-evaluation-harness,505,505,5,today
Open LLM Leaderboard,text,English,no,yes,no,no,no,1,0,7,3,lm-evaluation-harness,2181,2181,7,today
Open LLM Leaderboard(Humans and GPT4 evaluations),text,English,no,yes,no,no,no,2,0,1,4,,8,4,2,11/8/2023
Open Multilingual LLM Evaluation Leaderboard,text,"Vietnamese,Ukrainian,Telugu,Tamil,Swedish,Spanish,Slovak,Serbian,Russian,Romanian,Portuguese,Nepali,Marathi,Malayalam,Kannada,Italian,Indonesian,Hungarian,Hindi,Gujarati,German,French,Dutch,Danish,Croatian,Chinese,Catalan,Bengali,Basque,Armenian,Arabic",no,yes,no,no,no,1,0,4,2,,62,62,4,6/15/2023
OpenbookQA,text,English,no,no,yes,yes,no,3,0,1,1,,82,,1,today
OpenCompass,text,"English,Chinese",no,yes,no,no,yes,18,1,10,7,opencomPass,1632,96,10,today
OpenEval(text),text,Chinese,no,no,no,no,yes,4,0,24,1,openeval,28,7,4,today
OpenEval(code),code,English,yes,no,no,no,no,1,0,1,1,,10,10,1,8/19/2023
Pets37,image,English,no,no,yes,no,no,1,0,1,2,,15,15,1,today
PIQA,text,English,no,no,yes,yes,no,3,0,1,1,,73,,1,today
PromptBench,text,English,yes,no,no,no,no,7,0,13,1,,32,6,3,today
ProtoQA,text,English,no,no,no,yes,no,1,0,1,7,,189,189,1,today
PubMedQA,text,English,yes,no,yes,no,no,2,0,1,2,,45,,1,today
QASC,text,English,no,no,no,yes,no,1,0,1,1,,16,16,1,today
QNLI,text,English,no,no,yes,no,no,2,0,1,1,,38,38,1,today
QQP,text,English,no,no,yes,no,no,1,0,1,1,,19,19,1,today
